年份,非金融企业部门金融交易资金来源_净金融投资,非金融企业部门金融交易资金来源_资金运用,非金融企业部门金融交易资金来源_资金来源,非金融企业部门金融交易资金来源_通货,非金融企业部门金融交易资金来源_存款,非金融企业部门金融交易资金来源_贷款,非金融企业部门金融交易资金来源_证券,非金融企业部门金融交易资金来源_证券投资基金份额,非金融企业部门金融交易资金来源_证券公司客户保证金,非金融企业部门金融交易资金来源_保险准备金,非金融企业部门金融交易资金来源_未贴现的银行承兑汇票,非金融企业部门金融交易资金来源_金融机构往来,非金融企业部门金融交易资金来源_准备金,非金融企业部门金融交易资金来源_库存现金,非金融企业部门金融交易资金来源_中央银行贷款,非金融企业部门金融交易资金来源_其他(净),非金融企业部门金融交易资金来源_直接投资,非金融企业部门金融交易资金来源_其他对外债权债务,非金融企业部门金融交易资金来源_国际储备资产,非金融企业部门金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,75711.9931234158,,,49159.972481336,,,,,-6342.8544505233,,,,,1798.63363844977,13465.9291064814,3175.33639225344,,-10601.2964909353
2017,,,128791.0,,,113137.0,,,,,5381.0,,,,,818.0,11358.0,549.0,,-14982.0
2016,,,140243.440232783,,,110003.40422446,49750.9489519229,,,,-19531.0557049216,,,,,1835.31980397812,11328.8078809074,1648.86783589426,,-14792.8527594584
2015,,,140912.909256701,,,82867.2053134084,37096.8944043376,,,,-10568.5299693679,,,,,32000.0,15168.8111778907,-3909.9685885672,,-11741.5030810006
2014,,,142908.0,,,101873.0,33300.0,,,,-1198.0,,,,12.0,,17626.0,-160.0,,-8544.0
2013,,,148122.429753046,,,103757.271106187,22340.062411152,,,,7755.65541204741,,,,,,15925.842781894,3131.60032620833,,-4788.00228444219
2012,,,139116.0,,,91609.0,24660.0,,,,10499.0,,,,,,15932.0,1429.0,,-5014.0
2011,,,111061.0,,,66963.0,19397.0,,,,10271.0,,,,,,14224.0,2466.0,,-2259.0
2010,,,117986.006196121,,,64263.6771585244,18532.8798,,,,23346.0,,,,,,12529.0409945977,3354.4243182943,,-4040.016075295
2009,,,100357.0,,,78990.0,16810.0,,,,,,,,,,5341.0,2190.0,,-2975.0
2008,,,57960.0,,,42092.0,8733.0,,,,,,,,,,10271.0,-1322.0,,-1814.0
2007,,,46691.0,,,26471.0,7760.0,,,,,,,,,,9248.0,2054.0,,1159.0
2006,,,37729.0,,,26403.0,5080.0,,,,,,,,,,6226.0,1047.0,,-1027.0
2005,,,29438.5420325758,,,19165.8091289808,3084.390411,,,,,,,,,,6481.824423327,2079.957086427,,-1373.439017159
2004,,,27944.0133129233,,,17707.5720364847,2013.6968736,,,,,,,,,,4546.982824944,1540.632874928,,2135.12870296658
2003,,,31204.0385912092,,,23734.8492713286,1795.6,,,,,,,,,0.0,3896.54003163,400.30949016,,1376.73979809064
2002,,,20646.7925767614,,,14485.9676524741,1286.73846,,,,,,,,,,4081.22125629,243.08853732,,549.77667067728
2001,,,13802.03,,,9413.6,1398.94,,,,,,,,,,3661.76,-222.12,,-450.16
2000,,,,,,,,,,,,,,,,,,,,
