年份,大中型工业企业实收资本,煤炭开采和洗选业大中型工业企业实收资本,石油和天然气开采业大中型工业企业实收资本,黑色金属矿采选业大中型工业企业实收资本,有色金属矿采选业大中型工业企业实收资本,非金属矿采选业大中型工业企业实收资本,开采辅助活动大中型工业企业实收资本,其他采矿业大中型工业企业实收资本,农副食品加工业大中型工业企业实收资本,食品制造业大中型工业企业实收资本,酒、饮料和精制茶制造业大中型工业企业实收资本,烟草制品业大中型工业企业实收资本,纺织业大中型工业企业实收资本,纺织服装、服饰业大中型工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业实收资本,木材加工和木、竹、藤、棕、草制品业大中型工业企业实收资本,家具制造业大中型工业企业实收资本,造纸和纸制品业大中型工业企业实收资本,印刷和记录媒介复制业大中型工业企业实收资本,文教、工美、体育和娱乐用品制造业大中型工业企业实收资本,石油加工、炼焦和核燃料加工业大中型工业企业实收资本,化学原料和化学制品制造业大中型工业企业实收资本,医药制造业大中型工业企业实收资本,化学纤维制造业大中型工业企业实收资本,橡胶和塑料制品业大中型工业企业实收资本,非金属矿物制品业大中型工业企业实收资本,黑色金属冶炼和压延加工业大中型工业企业实收资本,有色金属冶炼和压延加工业大中型工业企业实收资本,金属制品业大中型工业企业实收资本,通用设备制造业大中型工业企业实收资本,专用设备制造业大中型工业企业实收资本,汽车制造业大中型工业企业实收资本,铁路、船舶、航空航天和其他运输设备大中型工业企业实收资本,电气机械和器材制造业大中型工业企业实收资本,计算机、通信和其他电子设备制造业大中型工业企业实收资本,仪器仪表制造业大中型工业企业实收资本,其他制造业大中型工业企业实收资本,废弃资源综合利用业大中型工业企业实收资本,金属制品、机械和设备修理业大中型工业企业实收资本,电力、热力生产和供应业大中型工业企业实收资本,燃气生产和供应业大中型工业企业实收资本,水的生产和供应业大中型工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,167780.68,5421.45,5992.02,1020.58,579.91,212.06,1209.41,,2649.56,1916.69,1591.38,1087.71,2280.32,1725.76,799.57,422.67,658.13,2447.98,640.45,872.19,5375.15,10851.13,3533.38,1159.49,2761.85,5044.87,9678.79,5290.41,2574.45,4323.53,4127.85,8384.04,3202.56,7415.55,14404.11,1019.62,363.87,154.04,375.91,42811.61,1298.91,2099.45
2016,144095.66,5281.65,6430.08,1158.69,590.99,284.4,1427.06,,2782.23,1920.89,1654.99,1034.12,2613.62,1578.64,866.2,414.2,635.89,2491.53,625.62,916.08,5024.63,10418.34,3379.07,1119.36,2448.24,4924.74,9140.85,5122.54,2574.79,4055.77,3819.39,8013.24,3049.99,7092.92,12939.59,872.37,240.16,120.91,360.1,23470.71,1191.49,2006.13
2015,132932.44,6048.08,5919.96,1168.96,568.72,268.12,1155.45,1.25,2651.05,1868.34,1695.08,1049.0,2600.45,1533.25,855.68,384.45,565.4,2426.54,678.45,798.13,4778.16,9549.31,2946.79,942.16,2769.17,4687.52,9182.25,4559.12,2365.96,4000.14,3738.49,6826.92,2922.42,6434.07,11292.74,812.0,268.8,96.34,268.22,19332.98,1101.95,1820.55
2014,117704.77,5151.59,6368.84,1334.08,553.28,211.82,1075.7,1.15,2591.56,1678.92,1611.11,915.2,2594.59,1492.94,864.4,373.3,497.33,2322.2,564.35,740.68,4899.25,8894.89,2444.47,901.61,2207.49,4537.47,8273.7,4229.84,2271.09,3766.72,3529.39,6248.43,2754.24,6039.89,10202.5,776.97,247.07,76.28,208.72,11815.97,1034.11,1401.62
2013,110438.29,4724.22,6145.9,1208.92,520.27,210.53,1202.45,0.86,2272.55,1496.78,1482.57,899.95,2441.76,1413.72,830.69,361.23,509.31,2183.93,531.85,699.98,4526.2,8319.55,2197.05,875.88,2464.28,4245.53,7767.48,3769.01,2109.61,3568.69,3493.45,5809.77,2512.2,5481.9,8887.18,720.11,243.55,50.4,205.06,12046.57,655.11,1352.23
2012,102440.99487,4637.85355,5219.34133,1068.87805,500.91317,177.11592,796.70768,0.64739,1921.35637,1335.79108,1406.66377,883.23866,2312.72026,1275.92296,795.69143,309.19466,427.99232,2096.83396,462.84615,592.56929,4490.03695,7171.08404,1971.53827,760.03767,1797.18858,3975.73109,7248.96404,3381.47504,1857.15143,3217.46278,2906.42408,5387.13785,2496.84132,5117.82366,9604.71425,676.40836,220.29561,47.50492,183.2821,11888.97321,573.08654,1245.55508
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
