年份,内资建筑业企业单位数,内资建筑业企业从业人员,内资建筑业企业固定资产原价,内资建筑业企业固定资产净价,内资建筑业企业自有施工机械设备年末总台数,内资建筑业企业自有施工机械设备年末净值,内资建筑业企业自有施工机械设备年末总功率,内资建筑业企业建筑业总产值,内资建筑业企业本年固定资产折旧,内资建筑业企业应付职工薪酬,内资建筑业企业主营业务税金及附加,内资建筑业企业管理费用中的税金,内资建筑业企业房屋施工面积,内资建筑业企业房屋竣工面积,内资建筑业企业利润总额,内资建筑业企业税金总额,内资建筑业企业按总产值计算劳动生产率,内资建筑业企业技术装备率,内资建筑业企业动力装备率,内资建筑业企业房屋建筑面积竣工率,内资建筑业企业产值利润率,内资建筑业企业产值利税率
2019,103370,5406.0072,20659.92,10987.4477,,,,247098.57666,,,,,1433370.65,400374.06,8180.37069,7129.07497,399357.69,,,27.93,3.31,6.196
2018,94937,5539.9086,21491.18,11706.26,,,,233558.25328,,,,,1401984.7,411790.68,7888.85523,7468.20993,372516.0,,,29.4,3.37768415373895,6.6
2017,87522,5502.8874,19770.80783,10964.82201,,,,212596.8957,1191.60675,23927.473839999,,,1310759.4118,417399.8529,7419.45219,6334.4334,347529.15699409,,,31.8,3.5,6.5
2016,82469,5159.8283,18818.93786,10561.1217,,,,192357.57751,1166.96246,22782.72156,,,1257347.3325,420690.9014,6919.05919,5942.7436,336461.684261016,,,33.4586069040712,3.59697771180358,6.68640297746074
2015,80319,5066.5841000003,18634.88659,10742.03374,,,,179457.88808,1188.86192,21649.625939999,5391.7686899999,245.93309000005,1233437.7928,419329.8783,6387.4099299999,5637.7017799999,323358.546106938,,,33.9968404363619,3.55928067489152,6.70079863228924
2014,80511,4512.9042,17773.28031,10523.32966,,,,175408.53813,1156.3004,21152.18687,5293.09928,220.13214,1244443.4588,421886.7648,6344.67164,5513.23142,317260.232989349,,,33.9016418798826,3.61708255917269,6.76016298089879
2013,78859,4472.739,,,,,,158048.96894,,,,,1124001.3766,387577.8905,,,324480.01059991,,,34.4819764965402,,
2012,74600,4243.9916000002,15368.89312,9521.3011399997,10111721.0,56911267.000001,24163.8882,136091.1276,1055.38794,15490.00679,4159.5588100002,196.95321000003,981024.2893,356982.4424,4717.8249599999,4356.5120200001,295718.28417803,13409.844402142,5.6936701288473,36.4,3.5,6.7
2011,71584,3831.2992,13900.84532,8795.9587799999,9992984.9999998,45991330.500001,21710.8578,115192.4736,944.51594999998,12454.62405,3660.1751700002,165.14003000003,847135.40779999,314668.0041,4112.30784,3825.3152,230635.860565424,12004.108293082,5.6667090369761,37.1,3.5698355209207,6.89063859116581
2010,71116,4138.4781,12723.35,8226.88,11154600.0,39552300.0,19311.29,95147.4972,905.65,9985.3,3168.03,156.95,703729.18,276045.92,3356.6815,3324.9747,203706.0,9557.0,4.7,39.2,3.5,7.0
2009,70022,3651.4629,11509.88271,7516.27727,9680431.0,36842136.4,18936.4011,76057.98193,748.35824,8088.56552,2503.50728,127.82396,584387.6083,244180.4671,2677.76865,2631.33124,184603.584423927,10090.0,5.2,41.7839912468931,3.52069379445866,6.98033231395257
2008,70258,3295.2581,10149.77908,6586.80157,9387570.0,32666564.2,18104.1769,61328.60405,707.66227,7438.93285,2127.25202,116.50797,527483.7697,222486.8935,2166.47305,2243.75999,161210.668551365,9913.0,5.5,42.1789079172117,3.53256540493522,7.19115184230253
2007,61227,3112.4649,9080.0,5931.88,9399000.0,28633800.0,15491.86,50365.44779,535.23,5322.85,1616.04,78.66,478684.04,202837.82,1524.39265,1694.70411,147459.26502201,9199.72,4.98,42.3740511590903,3.02666354989237,6.39147848624737
2006,59317,2861.1584,8309.92,5468.06,8911800.0,26010500.0,14066.9,41041.7652,481.79,4332.7,1321.08,65.34,407210.47,178316.67,1164.09093,1386.42,131196.8,9090.91,4.92,43.7898048151856,2.84,6.21
2005,57846,2680.45,7531.95,4999.99,8721600.0,24807400.0,13683.5757,34130.52,439.27,3733.76,1089.83,57.71,350765.5,158574.01,891.33737,1147.53,116894.15,9254.91,5.1,45.2079836814054,2.61,5.97
2004,,,,,,,,,,,,,,,,,,,,,,
2003,47866,2401.1967,,,,,,22830.7659,,,,,,,514.0731,,,,,,,
2002,46909,2233.26,,,,,,18321.9193,,,,,,,365.2414,,,,,,,
2001,44997,2098.68,,,,,,15185.94812,,,,,,,288.2973,,,,,,,
2000,46564,1981.68,,,,,,12330.9294,,,,,,,189.7695,,,,,,,
