年份,建筑业企业所有者权益,内资建筑业企业所有者权益,国有建筑业企业所有者权益,集体建筑业企业所有者权益,港澳台商投资建筑业企业所有者权益,港澳台商独资建筑业企业所有者权益,外商投资建筑业企业所有者权益,外商独资建筑业企业所有者权益
2019,80154.78904,79330.2814,10550.61723,756.42015,474.65889,121.84283,349.84875,242.13578
2018,74761.86724,73990.13633,8692.65868,813.92434,434.6241,113.62449,337.10681,213.05559
2017,67726.45039,66957.24161,7980.42878,963.91782,371.59152,111.34622,397.61726,196.05491
2016,60946.43791,60357.39096,6895.18872,1011.84848,316.38651,106.24757,272.66044,182.22901
2015,54195.92887,53688.00004,6007.28068,960.88686,284.47866,101.83715,223.45017,125.35193
2014,47913.33985,47466.5115,5230.46853,943.72758,224.23284,41.16032,222.59551,120.78427
2013,,,,,,,,
2012,36123.45204,35769.42256,4643.16064,1114.55154,171.42065,40.28096,182.60883,101.80525
2011,30264.78871,29891.65394,4038.0427,1052.88797,180.17561,65.73938,192.95916,85.74167
2010,24872.5952,24556.8638,3458.0363,938.5418,162.8456,30.8143,152.8858,70.3623
2009,21248.69925,20977.31126,3239.59683,905.61231,133.97086,27.50623,137.41713,49.23425
2008,17676.93171,17448.63645,2995.85014,898.54966,112.56961,23.57071,115.72565,40.03662
2007,14862.90732,14665.3105,3373.53443,931.87486,94.08483,18.32998,103.51199,27.55647
2006,12633.18601,12459.04704,2663.99769,916.20744,83.75793,11.99436,90.38104,28.37577
2005,11122.53562,10958.04886,2716.9895,1004.09735,76.50808,11.08542,87.97868,13.82285
2004,,,,,,,,
2003,8549.4793,8426.5763,2367.8872,1275.2811,69.7711,3.8492,53.1319,2.2038
2002,7404.4267,7289.8049,2318.4063,1334.282,71.6571,4.7735,42.9647,2.6828
2001,5633.78262,5543.425,1984.6344,1183.8126,56.8217,4.7939,33.5359,1.6781
2000,4233.15169,4154.3097,1728.7531,1187.1062,48.9075,5.2085,29.9345,1.4709
