年份,综合零售所有者权益合计,百货零售所有者权益合计,超级市场零售所有者权益合计,食品、饮料及烟草制品专门零售所有者权益合计,纺织、服装及日用品专门零售所有者权益合计,服装零售所有者权益合计,文化、体育用品及器材专门零售所有者权益合计,体育用品零售所有者权益合计,图书零售所有者权益合计,医药及医疗器材专门零售所有者权益合计,西药零售所有者权益合计,汽车、摩托车、燃料及零配件专门零售所有者权益合计,汽车新车零售所有者权益合计,机动车燃料零售所有者权益合计,家用电器及电子产品专门零售所有者权益合计,日用家电零售所有者权益合计,计算机、软件及辅助设备零售所有者权益合计,通信设备零售所有者权益合计,五金、家具及室内装修材料专门零售所有者权益合计,无店铺及其他零售所有者权益合计,邮购及电子销售所有者权益合计
2019,4911.2023,3660.4611,1204.1166,1021.6389,1327.4993,770.8746,1247.6623,44.1718,743.8919,792.1215,694.8553,7415.8346,3537.9423,3526.5388,1229.4332,634.1598,261.1978,129.5404,461.6492,980.2828,462.1669
2018,4700.5394,3367.9809,1245.8576,1265.5574,1174.899,758.6319,1210.5818,62.4247,696.5633,873.9602,785.4831,6840.7084,3553.025,2986.2654,1587.2276,953.2821,260.9817,132.1349,502.8815,706.7408,366.0262
2017,5973.992,4790.494,1109.046,1001.359,1144.707,754.152,1133.222,55.061,588.606,964.21,878.862,6549.786,3651.428,2750.25,1739.347,1001.919,304.298,136.651,547.381,623.956,238.385
2016,4696.0634,3576.5455,1034.0496,956.175,1262.3785,897.6147,1077.3243,44.3602,571.4496,1002.2801,914.0435,6078.1483,3368.9383,2593.6663,1904.2875,1126.7872,297.6935,109.7958,737.0017,593.8598,154.4242
2015,4023.201,2952.0604,972.2603,826.0213,1087.8776,758.7962,970.0239,36.5476,495.2979,789.5679,728.094,5391.5168,3043.0618,2229.0583,1260.3382,613.8101,237.3151,135.7956,610.0519,363.5993,-46.8925
2014,3901.0681,2857.64807,956.06917,1204.7003,800.12947,495.99799,875.66001,32.66536,437.2269,684.10309,617.90884,5045.58222,3054.61224,1874.52716,1150.68453,576.58311,236.46044,83.81647,534.67137,353.89037,-76.15828
2013,3587.0685,2541.25749,949.42187,640.78475,728.48575,456.98225,765.96686,33.32545,412.4424,560.72968,510.99293,4316.8656,2580.60732,1631.11878,1044.04142,557.26332,204.59828,73.68666,499.09227,298.94973,-77.60944
2012,3145.69043,2235.84855,835.75541,509.50487,491.8481,300.33834,620.46705,25.05828,365.59384,448.28839,414.36659,3832.73912,2126.61805,1601.68846,960.33228,525.85638,156.435,68.28379,323.5348,278.85392,-25.4
2011,2803.3286,1957.7289,745.8545,303.5901,389.5373,250.4354,490.1192,18.4202,283.5454,363.359,339.56,3201.4892,1845.1715,1275.3315,729.6286,525.4991,132.3508,54.1754,381.5229,243.7163,15.6336
2010,2243.3,1559.6,614.0,219.0,261.4,163.6,446.3,15.2,298.1,280.0,266.5,2471.0,1436.9,963.7,574.5,404.8,110.1,44.0,252.3,187.4,5.4
2009,1880.52815,1288.49514,543.77739,170.56613,250.25753,125.0433,364.26854,12.29226,254.15617,203.9639,195.70111,2160.00352,1072.71662,1032.88768,485.33688,345.76114,88.70041,37.58786,150.18205,136.81461,-4.00448
2008,1620.9276,1121.9342,454.8666,143.9958,184.036,118.0617,319.8259,5.9759,218.1445,162.9342,156.0587,1857.781,910.8417,900.73,399.0031,278.8663,75.4122,34.6662,111.5757,113.6385,-0.0699
2007,1290.48774,903.75239,318.34794,104.98742,103.11188,75.11728,218.89566,5.85919,145.82635,113.10112,105.9652,911.66158,572.82688,311.26648,242.40276,148.97281,55.41402,28.1601,79.61448,77.5107,1.84035
2006,1115.0566,770.5635,300.2608,85.0636,77.8111,51.7727,214.6959,3.5458,148.4168,98.9971,89.7339,782.2347,449.0369,331.5842,187.7102,122.8375,37.2059,19.3618,58.4743,67.0426,-0.0906
2005,988.49103,681.4896,267.11732,67.00816,60.66219,38.28736,191.75677,1.24654,136.5992,85.55473,78.974,618.53773,369.95852,230.49065,161.71591,94.00196,39.87348,20.68692,46.16453,62.44538,-1.99752
2004,,,,,,,,,,,,,,,,,,,,,
2003,875.46514,658.55941,191.95792,40.98565,34.9117,16.88066,118.80531,0.9498,94.70432,55.97137,,204.76834,127.23645,64.59572,91.93454,49.6079,10.68479,,20.62391,42.17861,0.6156
2002,,751.1002,,66.4838,19.8235,,3.3299,,97.3422,46.2066,,70.8509,,,,,22.9502,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
