年份,文物业支出,文物科研机构支出,文物保护管理机构支出,博物馆支出,文物商店支出,其他文物机构支出,中央文物业支出,省、市、区文物业支出,地、市文物业支出,县、市文物业支出,文物部门文物业支出,其他部门文物业支出
2019,6108349.2,368952.9,926513.9,3391845.3,72535,1348502.4,258104,1107740,1969280.1,2773224.9,5323771.8,784577
2018,5471143.0,312846.0,947034.0,3084586.0,55148,1071529.0,250410,1021579,1772852.0,2426303.0,4781642.0,689500
2017,5469523.3,234974.6,956361.9,3306812.7,54658.5,916715.6,244316.6,1019188.8,1879930.7,2326087.2,4622807.3,846716
2016,4369026.2,245058.0,835664.3,2286950.9,51172.7,950180.3,232458.4,885717,1378733.8,1872117.0,3895889.8,473136.4
2015,4132700.8,236373.5,790246.5,2167638.6,57860.5,880581.7,230422.3,898241.7,1306002.1,1698034.7,3683515.7,449185.1
2014,3643551.0,207016.3,689768.6,1874197.4,72579.8,799988.9,199982.8,931449.4,1148663.3,1363455.5,3319092.4,324458.6
2013,3415825.0,170898.0,705411.0,1706897.0,71732,760887.0,174240,950265,988398.0,1302922.0,3095884.0,319941
2012,2609310.7,158830.9,459987.8,1424802.2,72603.5,493086.3,184302.2,700174.6,792926.7,931907.2,2405050.5,204260.2
2011,2166745.4,135304.0,419424.8,1171131.3,82996,357889.3,199345.2,625486.2,620160.1,721753.9,2058427.7,108317.7
2010,,110215.0,330748.0,,,,,,,,,
2009,,86062.0,290560.0,,,,,,,,,
2008,,,276187.0,,,,,,,,,
2007,,70879.0,235417.0,472082.0,,159438.0,,,,,,
2006,,57332.6,202865.4,363517.7,,112660.6,,,,,,
2005,,42453.0,187185.0,319861.0,,94321.0,,,,,,
2004,,34620.0,143260.0,263181.0,,99083.0,,,,,,
2003,,27248.0,88383.0,226896.0,,9780.0,,,,,,
2002,,21745.0,83705.0,207198.0,,6286.0,,,,,,
2001,,22540.9,72093.0,180935.0,,5326.0,,,,,,
2000,,17597.0,84759.0,144543.0,,15524.0,,,,,,
