年份,柴油可供量,柴油生产量,柴油进口量,柴油出口量,柴油年初年末库存差额,柴油能源消费总量,农、林、牧、渔业柴油消费总量,工业柴油消费总量,建筑业柴油消费总量,交通运输、仓储和邮政业柴油消费总量,批发和零售业、住宿和餐饮业柴油消费总量,其他柴油消费总量,居民生活柴油消费总量,柴油终端消费量,工业终端柴油消费量,中间消费(用于加工转换),火力发电中间消费柴油,供热中间消费柴油,柴油损失量,柴油平衡差额
2019,,,,,,,,,,,,,,,,,,,,
2018,16567.3,18360.1,89.0,1872.8,-9.0,16409.6,1468.2,1259.5,543.4,11166.9,211.8,1107.4,652.3,16340.0,1189.9,69.6,26.4,5.2,,157.8
2017,16994.5,18667.9,107.6,1736.8,-44.2,16916.5,1546.8,1459.9,596.1,11173.7,233.8,1233.3,673.0,16722.4,1265.8,194.1,23.9,5.9,,78.0
2016,16765.2,17917.7,116.1,1556.9,288.3,16839.0,1495.9,1412.9,561.3,11068.5,232.0,1307.2,761.3,16736.4,1310.3,102.7,29.2,6.1,,-73.9
2015,17353.6,18007.9,71.5,731.3,5.5,17360.3,1492.9,1516.4,555.7,11162.8,257.7,1384.2,990.7,17280.4,1436.5,79.9,22.4,6.2,,-6.7
2014,17172.9,17635.3,55.0,423.9,-93.7,17165.3,1492.0,1595.3,552.0,11042.8,230.1,1268.7,984.4,17127.0,1557.0,38.3,25.8,4.7,,7.6
2013,17105.9,17275.7,35.3,294.4,89.4,17150.6,1441.5,1675.9,557.0,10920.5,233.5,1339.8,982.5,17106.8,1632.0,43.9,35.6,2.6,,-44.7
2012,16966.9,17063.8,99.9,205.7,8.9,16966.0,1335.5,1747.7,518.0,10727.0,229.0,1444.7,964.1,16900.7,1682.3,65.4,35.6,2.4,,0.9
2011,15626.2,15689.7,243.3,228.8,-78.0,15635.1,1271.9,1824.3,518.6,9485.2,212.3,1428.1,894.7,15593.5,1782.7,41.6,39.2,2.4,,-8.9
2010,14701.9,14924.4,190.2,490.2,77.5,14699.0,1206.7,2090.0,490.2,8657.6,196.6,1287.2,770.7,14655.2,2046.2,43.8,40.1,3.8,,2.9
2009,13768.054264032,14288.57,192.46,478.71,-234.265735968,13756.6363866388,1134.14808906744,2348.80017949,415.2848,7891.95765308,181.7368,1131.803688,652.9094077714,13604.8295898388,2196.99,151.8067968,151.8067968,12.85,,11.4178773931617
2008,13543.1458786,13409.15,633.06,89.1,-409.9641214,13532.59463002,1098.8742264,2517.0164596,370.79,7649.3053028,152.72,1151.803688,592.07647562,13347.46439002,2331.89,185.13024,185.13024,4.4,,10.5512485799973
2007,12494.219,12359.11,173.66,93.25,54.699,12496.666703,1218.971,1972.783,433.81404,7184.3644,133.9378,1007.4808,545.315863,12265.253903,1741.37,231.4128,231.4128,6.17,,-2.447702999998
2006,11836.0823,11762.4,80.67,102.58,95.59,11835.4255488,1365.5303828,1961.58392559434,428.667768,6547.3215,129.7727,932.96,469.594,11522.7063508,1648.86,312.719198,312.719198,3.22,,0.656751200001963
2005,10972.6,11090.2,61.0,170.9,-7.7,10974.9,1286.3,1710.0,386.6,6169.4,116.0,900.1,406.4,10889.4,1624.5,85.5,81.9,3.6,,-2.4
2004,9948.43,9843.6,303.88,86.65,-112.4,9895.862524,1092.012324,2084.82,333.13,4985.24,108.992105,918.0,373.668095,9560.942524,1749.9,334.92,334.92,9.63,,52.5674759999984
2003,8467.52,8532.78,111.64,244.4,67.5,8409.44,939.08,1915.50597161421,276.23,4135.2,105.53,790.0,247.89,8138.16,1644.23,271.28,271.28,2.85,,58.0799999999999
2002,7722.33,7706.1,78.72,144.69,82.2,7666.857,819.017,1876.33,241.99,3664.81,110.79,740.0,213.92,7440.867,1650.34,225.99,225.99,3.08,,55.473
2001,7272.03,7485.6,54.69,46.86,-221.4,7157.968,742.948,1799.81,223.08,3421.0,98.07,673.89,199.17,6917.578,1559.42,240.39,240.39,,,114.062000000001
2000,6806.5,7079.6,51.9,77.5,-247.6,6806.2,697.1,1696.5,205.9,3293.8,95.9,638.7,178.4,6578.6,1468.8,227.7,227.7,,,0.3
