年份,内河主要港口码头长度,重庆港口码头长度,万州港口码头长度,宜昌港口码头长度,武汉港口码头长度,黄石港口码头长度,九江港口码头长度,安庆港口码头长度,池州港口码头长度,铜陵港口码头长度,芜湖港口码头长度,马鞍山港口码头长度,南京港口码头长度,镇江港口码头长度,泰州港口码头长度,扬州港口码头长度,江阴港口码头长度,常州港口码头长度,南通港口码头长度,上海(内河)港口码头长度,内河港口生产用码头长度,重庆港口生产用码头长度,万州港口生产用码头长度,宜昌港口生产用码头长度,武汉港口生产用码头长度,黄石港口生产用码头长度,九江港口生产用码头长度,安庆港口生产用码头长度,池州港口生产用码头长度,铜陵港口生产用码头长度,芜湖港口生产用码头长度,马鞍山港口生产用码头长度,南京港口生产用码头长度,镇江港口生产用码头长度,泰州港口生产用码头长度,扬州港口生产用码头长度,江阴港口生产用码头长度,常州港口生产用码头长度,南通港口生产用码头长度,上海(内河)港口生产用码头长度,内河港口非生产用码头长度,重庆港口非生产用码头长度,万州港口非生产用码头长度,宜昌港口非生产用码头长度,武汉港口非生产用码头长度,黄石港口非生产用码头长度,九江港口非生产用码头长度,安庆港口非生产用码头长度,池州港口非生产用码头长度,铜陵港口非生产用码头长度,芜湖港口非生产用码头长度,马鞍山港口非生产用码头长度,南京港口非生产用码头长度,镇江港口非生产用码头长度,泰州港口非生产用码头长度,扬州港口非生产用码头长度,江阴港口非生产用码头长度,常州港口非生产用码头长度,南通港口非生产用码头长度,上海(内河)港口非生产用码头长度
2019,1151479,81961,,23986,15834,4904,16994,6183,8129,7414,12515,9393,26498,23546,21018,7446,16871,4134,20726,42005,1107654,61659,,22685,13906,4904,15600,5289,8129,7369,12515,9393,26498,23426,21018,7446,16721,4134,20171,41650,43825,20302,,1301,1928,,1394,894,,45,,,,120,,,150,,555,355
2018,791221,84771,,24676,16456,7892,17516,7621,8393,7414,13544,9027,29958,22602,20989,7446,16692,4134,20165,42005,753345,63760,,23175,14114,7462,15311,6549,8393,7369,13544,8977,29318,22482,20989,7446,16542,4134,19610,41650,37876,21011,,1501,2342,430.0,2205,1072,,45,,50.0,640.0,120,,,150,,555,355
2017,833754,88069,,24300,22188,7892,16671,7775,8395,7934,14186,9426,29312,22602,19721,7603,14341,4134,19207,44752,793878,67078,,22799,19436,7462,14466,6553,8395,7889,14186,9376,28672,22482,19721,7603,14191,4134,18652,44447,39876,20991,,1501,2752,430.0,2205,1222,,45,,50.0,640.0,120,,,150,,555,305
2016,902835,92013,,7412,22188,7662,18311,10534,9226,8313,14808,11389,30359,22497,20849,7672,14756,4134,18774,88904,860933,70837,,5708,19436,7232,16286,8962,9226,8087,14808,11339,29604,22377,20849,7672,14606,4134,18219,88112,41902,21176,,1704,2752,430.0,2025,1572,,226,,50.0,755.0,120,,,150,,555,792
2015,926768,90920,,7412,24910,10300,18828,11735,10359,5726,14076,10749,32122,22187,17080,8029,12612,3488,18095,97465,883858,69984,,5708,21908,9870,16803,10026,10359,5661,14076,10699,31151,22067,17080,7657,12462,3488,17540,96673,42910,20936,,1704,3002,430.0,2025,1709,,65,,50.0,971.0,120,,372.0,150,,555,792
2014,938553,91322,,7412,24785,8412,18828,11735,10223,6598,13452,10749,33307,21558,16926,7657,12022,4388,18095,96671,896513,70501,,5708,21783,7982,16803,10026,10223,6533,13452,10699,32195,21438,16926,7657,11872,4388,17540,95879,42040,20821,,1704,3002,430.0,2025,1709,,65,,50.0,1112.0,120,,,150,,555,792
2013,919926,94286,,7412,24015,8297,13616,11231,8752,6716,13527,9557,34092,20623,16686,7308,12022,4388,17815,88840,877067,73204,,5708,21013,7867,11591,9522,8752,6651,13527,9507,32500,20503,16686,7308,11872,4388,17260,88133,42859,21082,,1704,3002,430.0,2025,1709,,65,,50.0,1592.0,120,,,150,,555,707
2012,909992,94554,,7412,23171,8018,13616,11081,8662,6088,12887,9110,33261,19560,16686,6015,12022,4161,16805,88679,862832,73632,,5708,20169,7588,11591,9372,8662,6023,12887,9060,31669,19440,16686,6015,11872,4161,16250,87972,47160,20922,,1704,3002,430.0,2025,1709,,65,,50.0,1592.0,120,,,150,,555,707
2011,904494,94710,,7870,23171,8018,13510,11081,8032,5496,10278,6505,31895,17357,15021,5187,11501,3281,16413,92328,854821,73938,,6222,20169,7588,11485,9372,8032,5431,10278,6455,30303,17237,15021,5187,11351,3281,15858,91661,49673,20772,,1648,3002,430.0,2025,1709,,65,,50.0,1592.0,120,,,150,,555,667
2010,886203,91730,,7870,22921,8018,13510,11081,8032,5196,10278,6719,30600,15876,13173,4092,11501,3111,16528,93202,843985,73008,,6222,19919,7588,11485,9372,8032,5131,10278,6669,29008,15756,13149,4092,11351,3111,16064,92345,42218,18722,,1648,3002,430.0,2025,1709,,65,,50.0,1592.0,120,24.0,,150,,464,857
2009,885120,88789,6880.0,2966,22396,8374,16324,10616,8034,4825,12464,6772,28656,14737,9451,4092,11351,2631,15710,91850,840273,70127,5890.0,2716,19394,7854,14299,8907,8034,4760,10644,6727,27064,14617,9451,4092,11351,2631,15246,90993,44847,18662,990.0,250,3002,520.0,2025,1709,,65,1820.0,45.0,1592.0,120,,,,,464,857
2008,573806,4126,7480.0,2466,20879,3347,1240,10460,6705,4825,11931,5811,29611,16388,5855,3039,11163,3144,14466,90103,542315,3603,6490.0,2216,17877,3045,1110,8701,6705,4760,10111,5766,28019,16148,5831,3039,11163,3144,14122,90103,31491,523,990.0,250,3002,302.0,130,1759,,65,1820.0,45.0,1592.0,240,24.0,,,,344,
2007,471029,3897,9655.0,3988,22980,3347,1140,5104,3975,4001,18749,2719,23222,15814,7367,3039,9856,3169,13593,76714,455492,3374,7405.0,3413,22390,3045,1010,4609,3975,3936,12980,2674,21440,15574,7343,3039,9856,3169,13346,76714,15537,523,2250.0,575,590,302.0,130,495,,65,5769.0,45.0,1782.0,240,24.0,,,,247,
2006,389353,4654,9655.0,2925,22730,3347,1140,2807,1995,4001,2080,2499,21611,15726,6512,3039,9452,7110,10155,76843,379669,4131,7405.0,2489,22140,3045,1010,2342,1995,3936,1835,2454,19829,15576,6488,3039,9452,7110,9908,76843,9684,523,2250.0,436,590,302.0,130,465,,65,245.0,45.0,1782.0,150,24.0,,,,247,
2005,366387,4060,9655.0,1140,22495,3725,1140,2807,2210,921,2080,2007,20120,15831,5855,2739,7842,6186,8971,75717,354147,3571,7405.0,920,21905,3378,1010,2342,2055,856,1835,2007,18338,15831,5831,2739,7842,6186,8724,75717,12240,489,2250.0,220,590,347.0,130,465,155.0,65,245.0,,1782.0,,24.0,,,,247,
2004,351643,4011,9655.0,1140,20724,3207,1140,2732,1960,921,2591,1779,19675,12530,5056,2739,5010,3558,8371,76242,342856,3508,7405.0,920,20134,3080,1010,2252,1805,856,2306,1779,17893,12530,5032,2739,5010,3558,8124,76242,8787,503,2250.0,220,590,127.0,130,480,155.0,65,285.0,,1782.0,,24.0,,,,247,
2003,283699,4067,9655.0,1140,20085,3256,1020,2340,1210,921,2420,1999,6088,2744,5179,2478,5046,4461,10436,73744,275026,4067,7405.0,920,19495,3151,890,1979,1210,856,2175,1775,5169,2744,5155,2478,5046,4461,10189,73744,8673,,2250.0,220,590,105.0,130,361,,65,245.0,224.0,919.0,,24.0,,,,247,
2002,310790,5005,10350.0,1140,3543,1446,1020,1148,1023,941,2261,784,5897,2783,1375,2216,925,4596,3811,,305540,4471,10230.0,955,2953,1341,890,1074,1023,856,2041,784,5003,2783,1351,2216,925,4596,3609,,5250,534,120.0,185,590,105.0,130,74,,85,220.0,,894.0,,24.0,,,,202,
2001,299461,3348,10350.0,1208,4645,1494,1020,1148,1023,917,1729,722,5782,2783,1375,2216,540,4136,3781,,294065,2854,10230.0,1023,3756,1389,890,1074,1023,856,1494,722,4888,2783,1351,2216,540,4136,3579,,5396,494,120.0,185,889,105.0,130,74,,61,235.0,,894.0,,24.0,,,,202,
2000,259116,3289,9080.0,1314,5407,1326,1020,1148,895,917,1714,878,5815,3097,1375,2176,630,4143,3959,,251540,2748,7050.0,1209,4517,1221,890,1074,895,856,1494,878,4888,3033,1351,2176,630,4143,3757,,7576,541,2030.0,105,890,105.0,130,74,,61,220.0,,927.0,64,24.0,,,,202,
